Country,Total,Paved,Unpaved,Controlled_access,Year
Barbados,1700.0,1700.0,0.0,,2015
Dominica,1512.0,762.0,750.0,,2018
Solomon Islands,1390.0,34.0,1356.0,,2011
Cape Verde,1350.0,932.0,418.0,,2013
São Tomé and Príncipe,1300.0,230.0,1070.0,,2018
U.S. Virgin Islands,1260.0,0.0,1260.0,,2008
Saint Lucia,1210.0,847.0,363.0,,2011
Antigua and Barbuda,1170.0,386.0,784.0,,2011
Samoa,1150.0,0.0,1150.0,,2018
Grenada,1127.0,902.0,225.0,,2017
Isle of Man,1107.0,500.0,0.0,,2008
Vanuatu,1070.0,256.0,814.0,,2000
Guam,1045.0,0.0,1045.0,,2008
Faroe Islands,960.0,500.0,460.0,,2017
Comoros,880.0,673.0,207.0,,2002
Cayman Islands,785.0,785.0,0.0,,2007
Tonga,680.0,184.0,496.0,,2011
Kiribati,670.0,0.0,670.0,,2017
Liechtenstein,630.0,0.0,630.0,,2019
Jersey,576.0,0.0,576.0,,2010
Curaçao,550.0,0.0,550.0,,
Northern Mariana Islands,536.0,0.0,536.0,,2008
Seychelles,526.0,514.0,12.0,,2015
Greenland,500.0,500.0,0.0,,2015
Bermuda,447.0,447.0,225.0,,2010
Falkland Islands,440.0,50.0,390.0,,2008
Macau,428.0,428.0,0.0,,2017
Saint Kitts and Nevis,383.0,163.0,220.0,,2002
Andorra,320.0,0.0,320.0,,2019
Cook Islands,295.0,207.0,88.0,,2018
San Marino,292.0,292.0,0.0,,2006
American Samoa,241.0,0.0,241.0,,2016
Niue,234.0,0.0,234.0,,2017
British Virgin Islands,200.0,0.0,200.0,,2007
Saint Helena,198.0,0.0,198.0,,2002
Anguilla,175.0,0.0,175.0,,2004
Christmas Island,140.0,0.0,140.0,,2011
Turks and Caicos Islands,121.0,0.0,121.0,,2003
Saint Pierre and Miquelon,117.0,0.0,117.0,,2009
Maldives,93.0,0.0,93.0,,2018
Norfolk Island,80.0,0.0,80.0,,2008
Monaco,77.0,77.0,0.0,10.0,2019
Sint Maarten,53.0,0.0,53.0,,
Nauru,30.0,24.0,30.0,,2002
Gibraltar,29.0,0.0,29.0,,2007
Cocos (Keeling) Islands,22.0,22.0,0.0,,2007
Vatican City,9.0,9.0,0.0,9.0,2003
Tuvalu,8.0,0.0,8.0,,2011
