"Category","BEV","PHEV","H2","LPG","CNG","LNG"
"Austria",117919,42289,62,626,6739,
"Belgium",96983,183122,106,25009,23764,
"Bulgaria",3142,1897,,176574,24829,
"Croatia",4150,1634,,56505,229,
"Cyprus",566,662,,215,,
"Czech Republic",14798,8720,12,157561,28193,
"Denmark",101457,98187,234,4,262,
"Estonia",3024,644,2,6213,2500,
"Finland",49287,106276,2,16,16697,
"France",761494,412693,862,184911,11966,
"Germany",1034947,932152,2138,352309,96673,
"Greece",6434,12283,,226222,5135,
"Hungary",16856,14669,,23205,2909,
"Ireland",37940,25523,,537,194,
"Italy",185086,184142,56,2597522,1079747,
"Latvia",2884,569,,49038,250,
"Lithuania",7561,4949,1,103594,875,59
"Luxembourg",15328,12834,5,370,189,
"Malta",2762,2719,,1885,,
"Netherlands",341988,187074,610,127695,11501,9
"Poland",33164,30322,115,3510020,6604,
"Portugal",71607,59738,3,55600,298,
"Romania",23644,8329,,222157,370,
"Slovakia",4705,4215,3,50274,3376,
"Slovenia",7914,1546,,11866,330,
"Spain",118100,135008,23,83564,22588,
"Sweden",223677,276580,65,0,54426,
